Term,ID,Definition,Synonyms
Abnormality of body height,2,Deviation from the norm of height with respect to that which is expected according to age and gender norms.,Abnormality of body height
Multicystic kidney dysplasia,3,"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.","Multicystic dysplastic kidney, Multicystic kidneys, Multicystic renal dysplasia"
Mode of inheritance,5,The pattern in which a particular genetic trait or disorder is passed from one generation to the next.,Inheritance
Autosomal dominant inheritance,6,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.","Autosomal dominant, monoallelic_autosomal"
Autosomal recessive inheritance,7,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).","Autosomal recessive, biallelic_autosomal"
Abnormal morphology of female internal genitalia,8,An abnormality of the female internal genitalia.,Abnormality of female internal genitalia
Functional abnormality of the bladder,9,Dysfunction of the urinary bladder.,Poor bladder function
Recurrent urinary tract infections,10,Repeated infections of the urinary tract.,"Frequent urinary tract infections, Recurrent UTIs, Repeated bladder infections, Repeated urinary tract infections, Urinary tract infections, Urinary tract infections, recurrent"
Neurogenic bladder,11,"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.",Lack of bladder control due to nervous system injury
Urinary urgency,12,"Urge incontinence is the strong, sudden need to urinate.","Overactive bladder, Urinary urgency"
Hypoplasia of the uterus,13,Underdevelopment of the uterus.,"Hypoplastic uterus, Rudimentary uterus, Small uterus, Underdeveloped uterus"
Abnormality of the bladder,14,An abnormality of the urinary bladder.,
Bladder diverticulum,15,Diverticulum (sac or pouch) in the wall of the urinary bladder.,Bladder diverticula
Urinary retention,16,Inability to completely empty the urinary bladder during the process of urination.,Increased post-void residual urine volume
Nocturia,17,Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.,Nycturia
Urinary hesitancy,19,Difficulty in beginning the process of urination.,Difficulty with flow
Urinary incontinence,20,Loss of the ability to control the urinary bladder leading to involuntary urination.,"Bladder incontinence, Loss of bladder control"
Megacystis,21,Dilatation of the bladder postnatally.,
Abnormal male internal genitalia morphology,22,An abnormality of the male internal genitalia.,
Inguinal hernia,23,Protrusion of the contents of the abdominal cavity through the inguinal canal.,
Prostatitis,24,The presence of inflammation of the prostate.,Inflammation of the prostate
Functional abnormality of male internal genitalia,25,,
Male hypogonadism,26,"Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.",Decreased function of male gonad
Azoospermia,27,Absence of any measurable level of sperm in his semen.,Absent sperm in semen
Cryptorchidism,28,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.","Cryptorchism, Undescended testes, Undescended testis"
Testicular atrophy,29,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.,Testicular degeneration
Testicular gonadoblastoma,30,The presence of a gonadoblastoma of the testis.,
Epididymitis,31,The presence of inflammation of the epididymis.,
Abnormality of male external genitalia,32,An abnormality of male external genitalia.,
"Ambiguous genitalia, male",33,Ambiguous genitalia in an individual with XY genetic gender.,Ambiguous genitalia in males
Hydrocele testis,34,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.,Testicular hydrocele
