,Term,ID,Definition,Synonyms,HPO_ID
0,All,0000001,,,HP:0000001
1,Abnormality of body height,0000002,Deviation from the norm of height with respect to that which is expected according to age and gender norms.,Abnormality of body height,HP:0000002
2,Multicystic kidney dysplasia,0000003,"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.","Multicystic dysplastic kidney, Multicystic kidneys, Multicystic renal dysplasia",HP:0000003
3,Mode of inheritance,0000005,The pattern in which a particular genetic trait or disorder is passed from one generation to the next.,Inheritance,HP:0000005
4,Autosomal dominant inheritance,0000006,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.","Autosomal dominant, monoallelic_autosomal",HP:0000006
5,Autosomal recessive inheritance,0000007,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).","Autosomal recessive, biallelic_autosomal",HP:0000007
6,Abnormal morphology of female internal genitalia,0000008,An abnormality of the female internal genitalia.,Abnormality of female internal genitalia,HP:0000008
7,Functional abnormality of the bladder,0000009,Dysfunction of the urinary bladder.,Poor bladder function,HP:0000009
8,Recurrent urinary tract infections,0000010,Repeated infections of the urinary tract.,"Frequent urinary tract infections, Recurrent UTIs, Repeated bladder infections, Repeated urinary tract infections, Urinary tract infections, Urinary tract infections, recurrent",HP:0000010
9,Neurogenic bladder,0000011,"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.",Lack of bladder control due to nervous system injury,HP:0000011
10,Urinary urgency,0000012,"Urge incontinence is the strong, sudden need to urinate.","Overactive bladder, Urinary urgency",HP:0000012
11,Hypoplasia of the uterus,0000013,Underdevelopment of the uterus.,"Hypoplastic uterus, Rudimentary uterus, Small uterus, Underdeveloped uterus",HP:0000013
12,Abnormality of the bladder,0000014,An abnormality of the urinary bladder.,,HP:0000014
13,Bladder diverticulum,0000015,Diverticulum (sac or pouch) in the wall of the urinary bladder.,Bladder diverticula,HP:0000015
14,Urinary retention,0000016,Inability to completely empty the urinary bladder during the process of urination.,Increased post-void residual urine volume,HP:0000016
15,Nocturia,0000017,Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.,Nycturia,HP:0000017
16,Urinary hesitancy,0000019,Difficulty in beginning the process of urination.,Difficulty with flow,HP:0000019
17,Urinary incontinence,0000020,Loss of the ability to control the urinary bladder leading to involuntary urination.,"Bladder incontinence, Loss of bladder control",HP:0000020
18,Megacystis,0000021,Dilatation of the bladder postnatally.,,HP:0000021
19,Abnormal male internal genitalia morphology,0000022,An abnormality of the male internal genitalia.,,HP:0000022
20,Inguinal hernia,0000023,Protrusion of the contents of the abdominal cavity through the inguinal canal.,,HP:0000023
21,Prostatitis,0000024,The presence of inflammation of the prostate.,Inflammation of the prostate,HP:0000024
22,Functional abnormality of male internal genitalia,0000025,,,HP:0000025
23,Male hypogonadism,0000026,"Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.",Decreased function of male gonad,HP:0000026
24,Azoospermia,0000027,Absence of any measurable level of sperm in his semen.,Absent sperm in semen,HP:0000027
25,Cryptorchidism,0000028,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.","Cryptorchism, Undescended testes, Undescended testis",HP:0000028
26,Testicular atrophy,0000029,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.,Testicular degeneration,HP:0000029
27,Testicular gonadoblastoma,0000030,The presence of a gonadoblastoma of the testis.,,HP:0000030
28,Epididymitis,0000031,The presence of inflammation of the epididymis.,,HP:0000031
29,Abnormality of male external genitalia,0000032,An abnormality of male external genitalia.,,HP:0000032
30,"Ambiguous genitalia, male",0000033,Ambiguous genitalia in an individual with XY genetic gender.,Ambiguous genitalia in males,HP:0000033
31,Hydrocele testis,0000034,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.,Testicular hydrocele,HP:0000034
32,Abnormal testis morphology,0000035,An anomaly of the testicle (the male gonad).,"Abnormality of the testis, Anomaly of the testes",HP:0000035
33,Abnormal penis morphology,0000036,Abnormality of the male external sex organ.,Abnormality of the penis,HP:0000036
34,Male pseudohermaphroditism,0000037,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.",,HP:0000037
35,Epispadias,0000039,"Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias.",,HP:0000039
36,Long penis,0000040,Penile length more than 2 SD above the mean for age.,"Enlarged penis, Long penis",HP:0000040
37,Chordee,0000041,"Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees.",,HP:0000041
38,Absent external genitalia,0000042,Lack of external genitalia in a male or female individual.,Absent external genitalia,HP:0000042
39,Hypogonadotropic hypogonadism,0000044,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).,"Hypogonadotrophic hypogonadism, Low gonadotropins (secondary hypogonadism)",HP:0000044
40,Abnormality of the scrotum,0000045,,,HP:0000045
41,Small scrotum,0000046,Apparently small scrotum for age.,"Hypoplastic scrotum, Scrotal hypoplasia, Smaller than typical growth of scrotum, Underdeveloped scrotum",HP:0000046
42,Hypospadias,0000047,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.",Hypospadia,HP:0000047
43,Bifid scrotum,0000048,Midline indentation or cleft of the scrotum.,"Cleft of scrotum, Scrotal cleft",HP:0000048
44,Shawl scrotum,0000049,Superior margin of the scrotum superior to the base of the penis.,"Overriding scrotum, Scrotum surrounds penis",HP:0000049
45,Hypoplastic male external genitalia,0000050,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).","Hypoplastic male genitalia, Small male external genitalia, Underdeveloped male genitalia",HP:0000050
46,Perineal hypospadias,0000051,Hypospadias with location of the urethral meatus in the perineal region.,,HP:0000051
47,"Urethral atresia, male",0000052,Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.,,HP:0000052
