,Definition,ClassificationLevel
1,"a rare neurodegenerative disorder of the astrocytes comprised of two clinical forms: alexander disease (axd) type i and type ii manifesting with various degrees of macrocephaly, spasticity, ataxia and seizures and leading to psychomotor regression and death.",Disorder
6,an autosomal recessive lysosomal storage disease belonging to the oligosaccharidosis group (also called glycoproteinosis).,Disorder
28,"glycogen branching enzyme (gbe) deficiency (andersen's disease or amylopectinosis), or glycogen storage disease type 4 (gsd4), is a rare and severe form of glycogen storage disease which accounts for approximately 3% of all the glycogen storage diseases (see these terms).",Disorder
32,"liver phosphorylase deficiency, or glycogen storage disease type 6b (hers' disease, gsd 6b) is a benign and rare form of glycogen storage disease.",Disorder
36,rare cutaneous lupus erythematosus (cle) is an autoimmune disease that denotes a heterogeneous spectrum of clinical manifestations affecting the skin and can be divided into 4 categories: acute cle (acle); subacute cle (scle); chronic cle (ccle; the most diverse form); and intermittent cle (icle). cle can either occur alone or associated with systemic lupus erythematosus (sle).,Group of disorders
41,"mucopolysaccharidosis type 6 (mps 6) is a lysosomal storage disease with progressive multisystem involvement, associated with a deficiency of arylsulfatase b (asb) leading to the accumulation of dermatan sulfate.",Disorder
44,"a rare skeletal disorder characterized clinically by multiple fractures, wormian bones of the skull, dentinogenesis imperfecta and facial dysmorphism (hypertelorism, periorbital fullness). although the signs are very similar to osteogenesis imperfecta, characteristic cortical defects in the absence of osteopenia and collagen abnormalities are considered to be distinctive. there have been no further descriptions in the literature since 1999.",Disorder
47,"a rare lysosomal storage disease characterized clinically by severe global development delay due to neuronal dysmyelination, hypotonia which gradually progresses to spasticity during childhood, speech deficits, progressive visual impairment (due to corneal clouding, retinal degeneration and optic atrophy), achlorhydria, with increased gastrin secretion and iron deficiency anemia, and kidney disease and failure, all in the absence of dysmorphic features.",Disorder
48,"a rare lysosomal storage disease characterized clinically by severe global development delay due to neuronal dysmyelination, hypotonia which gradually progresses to spasticity during childhood, speech deficits, progressive visual impairment (due to corneal clouding, retinal degeneration and optic atrophy), achlorhydria, with increased gastrin secretion and iron deficiency anemia, and kidney disease and failure, all in the absence of dysmorphic features.",Disorder
55,"poliomyelitis is a viral infection caused by any of three serotypes of human poliovirus, which is part of the family of enteroviruses.",Disorder
79,"a group of rare, genetic, progressive muscular dystrophies, including duchenne muscular dystrophy (dmd), becker muscular dystrophy (bmd) and a symptomatic form in female carriers. the diseases represent a spectrum of severity ranging from progressive skeletal and cardiac muscle wasting and weakness (dmd, bmd) to less severe muscle weakness or isolated cardiomyopathy affecting carrier females.",Group of disorders
108,"a subgroup of therapy-related myeloid neoplasms (t-mn), associated with treatment of an unrelated neoplastic disease with radiation. the neoplastic cells typically harbor unbalanced aberrations of chromosomes 5 and 7 (monosomy 5/del(5q) and monosomy 7/del(7q)) or a complex karyotype. patients frequently present with multilineage dysplasia and cytopenias 5-10 years after exposure.",Disorder
