OrphaCode,Name,ExpertLink,ClassOrphaCodes,ClassNames
166024,"Multiple epiphyseal dysplasia, Al-Gazali type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024,93419,Rare bone disease
58,Alexander disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58,98006,Rare neurologic disease
166032,"Multiple epiphyseal dysplasia, with miniepiphyses",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032,93419,Rare bone disease
61,Alpha-mannosidosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61,68367,Rare inborn errors of metabolism
166029,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029,93419,Rare bone disease
166038,"Metaphyseal chondrodysplasia, Kaitila type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038,93419,Rare bone disease
93,Aspartylglucosaminuria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93,68367,Rare inborn errors of metabolism
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035,93419,Rare bone disease
585,Multiple sulfatase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585,68367,Rare inborn errors of metabolism
118,Beta-mannosidosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118,68367,Rare inborn errors of metabolism
141,Canavan disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141,98006,Rare neurologic disease
166063,Pontocerebellar hypoplasia type 4,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,93890,Rare developmental defect during embryogenesis
166078,Von Willebrand disease type 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078,97992,Rare hematologic disease
166073,Pontocerebellar hypoplasia type 6,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166073,93890,Rare developmental defect during embryogenesis
213,Cystinosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=213,68367,Rare inborn errors of metabolism
166084,Von Willebrand disease type 2A,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166084,97992,Rare hematologic disease
333,Farber disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=333,68367,Rare inborn errors of metabolism
166081,Von Willebrand disease type 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166081,97992,Rare hematologic disease
349,Fucosidosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=349,68367,Rare inborn errors of metabolism
166090,Von Willebrand disease type 2M,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166090,97992,Rare hematologic disease
365,Glycogen storage disease due to acid maltase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=365,68367,Rare inborn errors of metabolism
166087,Von Willebrand disease type 2B,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166087,97992,Rare hematologic disease
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=366,68367,Rare inborn errors of metabolism
166093,Von Willebrand disease type 2N,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166093,97992,Rare hematologic disease
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=368,68367,Rare inborn errors of metabolism
166096,Von Willebrand disease type 3,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166096,97992,Rare hematologic disease
367,Glycogen storage disease due to glycogen branching enzyme deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=367,68367,Rare inborn errors of metabolism
166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166100,93419,Rare bone disease
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=371,68367,Rare inborn errors of metabolism
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166105,98006,Rare neurologic disease
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=369,68367,Rare inborn errors of metabolism
447,Paroxysmal nocturnal hemoglobinuria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=447,97992,Rare hematologic disease
166108,"Intellectual disability, Birk-Barel type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166108,93890,Rare developmental defect during embryogenesis
166113,Bazex syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166113,89826,Rare skin disease
166119,Isolated osteopoikilosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166119,93419,Rare bone disease
487,Krabbe disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=487,68367,Rare inborn errors of metabolism
166260,Dentinogenesis imperfecta type 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166260,98026,Rare odontologic disease
166265,Dentinogenesis imperfecta type 3,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166265,98026,Rare odontologic disease
583,Mucopolysaccharidosis type 6,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=583,68367,Rare inborn errors of metabolism
166272,Odontochondrodysplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166272,93419,Rare bone disease
576,Mucolipidosis type II,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=576,68367,Rare inborn errors of metabolism
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166277,93419,Rare bone disease
812,Sialidosis type 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=812,68367,Rare inborn errors of metabolism
166282,Familial sick sinus syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166282,97929,Rare cardiac disease
578,Mucolipidosis type IV,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=578,68367,Rare inborn errors of metabolism
166286,Porokeratotic eccrine ostial and dermal duct nevus,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166286,89826,Rare skin disease
577,Mucolipidosis type III,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=577,68367,Rare inborn errors of metabolism
166291,Dirofilariasis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166291,68416,Rare infectious disease
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166308,98006,Rare neurologic disease
166305,Benign infantile seizures associated with mild gastroenteritis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166305,98006,Rare neurologic disease
2912,Poliomyelitis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2912,68416,Rare infectious disease
166302,Benign partial epilepsy with secondarily generalized seizures in infancy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166302,98006,Rare neurologic disease
166299,Benign partial epilepsy of infancy with complex partial seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166299,98006,Rare neurologic disease
796,Sandhoff disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=796,68367,Rare inborn errors of metabolism
166409,Photosensitive epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166409,98006,Rare neurologic disease
461,Recessive X-linked ichthyosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=461,89826,Rare skin disease
166421,Orgasm-induced seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166421,98006,Rare neurologic disease
166418,Eating reflex epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166418,98006,Rare neurologic disease
166415,Audiogenic seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166415,98006,Rare neurologic disease
584,Mucopolysaccharidosis type 7,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=584,68367,Rare inborn errors of metabolism
166412,Hot water reflex epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166412,98006,Rare neurologic disease
166433,Reading seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166433,98006,Rare neurologic disease
166430,Micturation-induced seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166430,98006,Rare neurologic disease
881,Turner syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=881,93890,Rare developmental defect during embryogenesis
166427,Startle epilepsy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166427,98006,Rare neurologic disease
166424,Thinking seizures,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166424,98006,Rare neurologic disease
95,Friedreich ataxia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95,98006,Rare neurologic disease
848,Beta-thalassemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=848,97992,Rare hematologic disease
846,Alpha-thalassemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=846,97992,Rare hematologic disease
586,Cystic fibrosis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=586,97955,Rare respiratory disease
261,Emery-Dreifuss muscular dystrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=261,98006,Rare neurologic disease
550,MELAS,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=550,98006,Rare neurologic disease
269,Facioscapulohumeral dystrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=269,98006,Rare neurologic disease
480,Kearns-Sayre syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=480,68367,Rare inborn errors of metabolism
551,MERRF,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=551,98006,Rare neurologic disease
597,Central core disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=597,98006,Rare neurologic disease
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163746,98006,Rare neurologic disease
684,Paramyotonia congenita of Von Eulenburg,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=684,98006,Rare neurologic disease
163931,Acrodermatitis continua of Hallopeau,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163931,89826,Rare skin disease
273,Steinert myotonic dystrophy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=273,98006,Rare neurologic disease
163927,Pustulosis palmaris et plantaris,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163927,89826,Rare skin disease
163937,"X-linked intellectual disability, Najm type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163937,93890,Rare developmental defect during embryogenesis
163934,Atopic keratoconjunctivitis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163934,97966,Rare ophthalmic disorder
614,Thomsen and Becker disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=614,98006,Rare neurologic disease
163921,Posttransplant acute limbic encephalitis,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163921,98006,Rare neurologic disease
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163966,93419,Rare bone disease
163971,"X-linked intellectual disability, Cilliers type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163971,93890,Rare developmental defect during embryogenesis
163976,"X-linked intellectual disability, Van Esch type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163976,93890,Rare developmental defect during embryogenesis
163979,X-linked intellectual disability-craniofacioskeletal syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163979,93890,Rare developmental defect during embryogenesis
163956,"X-linked intellectual disability, Nascimento type",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163956,93890,Rare developmental defect during embryogenesis
