OrphaCode,Name,DisorderType,ClassificationLevel,Definition
166024,"Multiple epiphyseal dysplasia, Al-Gazali type",Disease,Disorder,"A rare primary bone dysplasia characterized by the association of multiple epiphyseal dysplasia with macrocephaly and dysmorphic facial features (such as frontal bossing, hypertelorism, flat malar region, low-set ears, and short neck). Patients are of normal stature and present with joint swelling and genu valgum. Additional reported manifestations include clinodactyly, spindle-shaped fingers, and pectus excavatum."
58,Alexander disease,Disease,Disorder,"A rare neurodegenerative disorder of the astrocytes comprised of two clinical forms: Alexander disease (AxD) type I and type II manifesting with various degrees of macrocephaly, spasticity, ataxia and seizures and leading to psychomotor regression and death."
166032,"Multiple epiphyseal dysplasia, with miniepiphyses",Disease,Disorder,"Multiple epiphyseal dysplasia, with miniepiphyses is a rare primary bone dysplasia disorder characterized by strikingly small secondary ossification centers (mini-epiphyses) in all or only some joints, resulting in severe bone dysplasia of the proximal femoral heads. Short stature, increased lumbar lordosis, genua vara and generalized joint laxity have also been reported."
61,Alpha-mannosidosis,Disease,Disorder,"An inherited lysosomal storage disorder characterized by immune deficiency, facial and skeletal abnormalities, hearing impairment, and intellectual deficit."
166029,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",Disease,Disorder,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia is a rare primary bone dysplasia characterized by severe, early-onset dysplasia of the proximal femurs, with almost complete absence of the secondary ossification centers and abnormal development of the femoral necks (short and broad with irregular metaphyses). It is associated with gait abnormality, mild short stature, arthralgia, joint stiffness with limited mobility of the hips and irregular acetabula, and hip and knee pain. Coxa vara and mild spinal changes are also associated."
166038,"Metaphyseal chondrodysplasia, Kaitila type",Disease,Disorder,"Metaphyseal chondrodysplasia, Kaitila type is a rare multiple metaphyseal dysplasia disease characterized by disproportionate short stature, short limbs and digits, tracheobronchial malacia and progressive thoracolumbar scoliosis. Radiographic imaging shows progression from marked metaphyseal dysplasia of tubular bones in childhood to short and broad bones with mild dysplasia of the joints in adulthood. There have been no further descriptions in the literature since 1982."
93,Aspartylglucosaminuria,Disease,Disorder,An autosomal recessive lysosomal storage disease belonging to the oligosaccharidosis group (also called glycoproteinosis).
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,"Brachydactyly-short stature-retinitis pigmentosa syndrome is a rare, genetic, congenital limb malformation syndrome characterized by mild to severe short stature, brachydactyly, and retinal degeneration (usually retinitis pigmentosa), associated with variable intellectual disability, developmental delays, and craniofacial anomalies."
585,Multiple sulfatase deficiency,Disease,Disorder,"Multiple sulfatase deficiency (MSD) is a very rare and fatal lysosomal storage disease characterized by a clinical phenotype that combines the features of different sulfatase deficiencies (whether lysosomal or not) that can have neonatal (most severe), infantile (most common) and juvenile (rare) presentations with manifestations including hypotonia, coarse facial features, mild deafness, skeletal anomalies, ichthyosis, hepatomegaly, developmental delay, progressive neurologic deterioration and hydrocephalus."
118,Beta-mannosidosis,Disease,Disorder,"Beta-mannosidosis is a very rare lysosomal storage disease characterized by developmental delay of varying severity and hearing loss, but that can manifest a wide phenotypic heterogeneity."
166068,Pontocerebellar hypoplasia type 5,Malformation syndrome,Disorder,"Beta-mannosidosis is a very rare lysosomal storage disease characterized by developmental delay of varying severity and hearing loss, but that can manifest a wide phenotypic heterogeneity."
141,Canavan disease,Disease,Disorder,"Canavan disease (CD) is a neurodegenerative disorder; its spectrum varies between severe forms with leukodystrophy, macrocephaly and severe developmental delay, and a very rare mild/juvenile form characterized by mild developmental delay."
166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,"A severe, genetic form of pontocerebellar hypoplasia (PCH) characterized by delayed neocortical maturation with underdeveloped cerebral hemispheres and pontocerebellar hypoplasia and a severely affected vermis. Clinically, the disorder manifests with prenatal onset of polyhydramnios and contractures followed by hypertonia, severe clonus, primary hypoventilation leading to an early postnatal death."
166078,Von Willebrand disease type 1,Clinical subtype,Subtype of disorder,"A form of von Willebrand disease (VWD) characterized by a bleeding disorder associated with a partial, quantitative plasmatic deficiency of an otherwise structurally and functionally normal von Willebrand factor (VWF)."
206,NON RARE IN EUROPE: Crohn disease,Disease,Disorder,"A form of von Willebrand disease (VWD) characterized by a bleeding disorder associated with a partial, quantitative plasmatic deficiency of an otherwise structurally and functionally normal von Willebrand factor (VWF)."
166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,"A rare, genetic form of pontocerebellar hypoplasia (PCH) characterized by neocortical and severe cerebral cortical atrophy associated with pontocerebellar hypoplasia with the pons and cerebellum equally affected. Clinically the disorder manifests at birth with hypotonia, clonus, epilepsy, impaired swallowing and from infancy by progressive microcephaly, spasticity and lactic acidosis."
213,Cystinosis,Disease,Disorder,"A rare lysosomal disease characterized by an accumulation of cystine inside the lysosomes, causing damage in different organs and tissues, particularly in the kidneys and eyes. Three clinical forms have been described: nephropathic infantile, nephropathic juvenile and ocular."
166084,Von Willebrand disease type 2A,Clinical subtype,Subtype of disorder,"A subtype of type 2 von Willebrand disease characterized by a bleeding disorder associated with a decrease in the affinity of the Willebrand factor (VWF) for platelets and the subendothelium caused by a deficiency of high molecular weight VWF multimers. The disease manifests as mucocutaneous bleeding (menorrhagia, epistaxis, gastrointestinal hemorrhage, etc.)."
333,Farber disease,Disease,Disorder,"A subcutaneous tissue disease characterized by a spectrum of clinical signs ranging from the classical triad of painful and progressively deformed joints, subcutaneous nodules, and progressive hoarseness (due to laryngeal involvement) that presents in infancy, to varying phenotypes with respiratory and neurologic involvement."
166081,Von Willebrand disease type 2,Clinical subtype,Subtype of disorder,"A form of von Willebrand disease (VWD) characterized by a bleeding disorder associated with a qualitative deficiency and functional anomalies of the Willebrand factor (VWF). Depending on the type of functional abnormalities, this form is classified as type 2A, 2B, 2M or 2N."
349,Fucosidosis,Disease,Disorder,"Fucosidosis is an extremely rare lysosomal storage disorder characterized by a highly variable phenotype with common manifestations including neurologic deterioration, coarse facial features, growth retardation, and recurrent sinopulmonary infections, as well as seizures, visceromegaly, angiokeratoma and dysostosis."
166090,Von Willebrand disease type 2M,Clinical subtype,Subtype of disorder,"A subtype of type 2 von Willebrand disease characterized by a bleeding disorder associated with decreased affinity of the Willebrand factor (VWF) for platelets or collagen in the absence of any deficiency of high molecular weight VWF multimers. The disease manifests as mucocutaneous bleeding (menorrhagia, epistaxis, gastrointestinal hemorrhage, etc.)."
